model,dataset,prefix_ratio,accuracy,correct,total,avg_rougeL_f,no_boxed_count,no_boxed_ratio
llama_instruct_from_llama_merged,aime2025,1.0,0.0,0,30,0.0,21,0.7
llama_instruct_from_llama_merged,math500,0.4,0.022,11,500,0.055631749178846286,282,0.564
llama_instruct_from_llama_merged,math500,0.6,0.044,22,500,0.04267758295273039,280,0.56
llama_instruct_from_llama_merged,math500,0.8,0.078,39,500,0.024325516935405092,276,0.552
llama_instruct_from_llama_merged,math500,1.0,0.184,92,500,0.0,247,0.494
qwen_from_llama_merged,aime2025,0.4,0.0,0,30,0.07710096116933829,20,0.6666666666666666
qwen_from_llama_merged,aime2025,0.6,0.0,0,30,0.0541922817638808,20,0.6666666666666666
qwen_from_llama_merged,aime2025,0.8,0.0,0,30,0.031136624736445795,23,0.7666666666666667
qwen_from_llama_merged,aime2025,1.0,0.0,0,30,0.0,22,0.7333333333333333
qwen_from_llama_merged,math500,0.4,0.036,18,500,0.05434291458689292,230,0.46
qwen_from_llama_merged,math500,0.6,0.074,37,500,0.03993655111717223,243,0.486
qwen_from_llama_merged,math500,0.8,0.114,57,500,0.02335318565680557,222,0.444
qwen_from_llama_merged,math500,1.0,0.258,129,500,0.0,200,0.4
qwen_from_qwen_merged,aime2025,0.4,0.0,0,30,0.0680855916384164,9,0.3
qwen_from_qwen_merged,aime2025,0.6,0.0,0,30,0.0388428958811982,15,0.5
qwen_from_qwen_merged,aime2025,0.8,0.0,0,30,0.021921458713419332,11,0.36666666666666664
qwen_from_qwen_merged,aime2025,1.0,0.0,0,30,0.0,13,0.43333333333333335
qwen_from_qwen_merged,math500,0.4,0.044,22,500,0.07247116531734069,70,0.14
qwen_from_qwen_merged,math500,0.6,0.118,59,500,0.050340787026114005,96,0.192
qwen_from_qwen_merged,math500,0.8,0.196,98,500,0.026585457274967028,99,0.198
qwen_from_qwen_merged,math500,1.0,0.438,219,500,0.0,107,0.214
